filepath,villagers_dark_age_delta,villagers_feudal_age_delta,villagers_castle_age_delta,villagers_imperial_age_delta,mil_trained_dark_age_delta,mil_trained_feudal_age_delta,mil_trained_castle_age_delta,mil_trained_imperial_age_delta,apm_dark_age_delta,apm_feudal_age_delta,apm_castle_age_delta,apm_imperial_age_delta,gather_point_count_delta,wall_count_delta,move_count_delta,order_count_delta,stance_count_delta,ungarrison_count_delta,first_wall_min_delta,market_min_delta,first_barracks_min_delta,first_stable_min_delta,first_archery_min_delta,blacksmith_min_delta,feudal_min_delta,castle_min_delta,imperial_min_delta,double_bit_axe_min_delta,bow_saw_min_delta,two_man_saw_min_delta,horse_collar_min_delta,heavy_plow_min_delta,crop_rotation_min_delta,gold_mining_min_delta,gold_shafting_mining_min_delta,stone_mining_min_delta,stone_shafting_mining_min_delta,wheelbarrow_min_delta,hand_cart_min_delta,town_watch_min_delta,town_patrol_min_delta,loom_min_delta,forging_min_delta,iron_casting_min_delta,blast_furnace_min_delta,scale_mail_armor_min_delta,chain_mail_armor_min_delta,plate_mail_armor_min_delta,scale_barding_armor_min_delta,chain_barding_armor_min_delta,plate_barding_armor_min_delta,fletching_min_delta,bodkin_arrow_min_delta,bracer_min_delta,padded_archer_armor_min_delta,leather_archer_armor_min_delta,ring_archer_armor_min_delta,bloodlines_min_delta,husbandry_min_delta,thumb_ring_min_delta,parthian_tactics_min_delta,arson_min_delta,gambeson_min_delta,squires_min_delta,chemistry_min_delta,barracks_count_delta,stable_count_delta,archery_count_delta,blacksmith_count_delta,market_count_delta,duration_min,p1_elo,p2_elo,p1_civ,p2_civ,result
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\AgeIIDE_Replay_272025477.aoe2record,-13,5,-43,42,0,-2,-36,-99,38,377,146,474,268,6,610,253,-10,0,0.4800000000000004,-5.640000000000001,0.0,-1.6600000000000001,-3.600000000000005,-4.58,-1.5500000000000007,0.75,-1.379999999999999,-2.3900000000000006,-7.740000000000002,,0.1899999999999995,6.139999999999997,,-0.16000000000000014,,,,16.919999999999998,-4.0,-2.6400000000000006,,-0.0699999999999994,1.8000000000000007,,,,,,1.620000000000001,3.8999999999999986,0.5899999999999963,,,,,,,,4.030000000000001,,,,,,,-3,-2,-1,-2,0,52.88,1478,1484,10,36,0
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\AgeIIDE_Replay_277877629.aoe2record,5,-4,35,4,0,4,11,215,-104,-26,-134,-301,314,1,-751,-177,18,0,1.2999999999999998,8.690000000000001,1.7699999999999996,1.1500000000000004,-1.8800000000000026,-2.539999999999999,0.3799999999999999,-0.16999999999999815,-2.0500000000000007,-10.350000000000001,-11.310000000000002,,8.71,-14.939999999999998,,13.129999999999999,,,,-12.34,-5.149999999999999,-7.27,,-4.69,,,,,,,15.61,,,13.350000000000001,13.89,3.460000000000001,,,-5.5,32.230000000000004,,-3.3800000000000026,,,,,3.809999999999995,10,-9,0,1,1,54.66,1704,1742,6,22,0
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\AgeIIDE_Replay_277883469.aoe2record,-1,3,0,0,3,2,0,0,359,494,0,0,33,3,728,119,-23,0,2.1999999999999993,,-3.67,,1.92,,-0.33000000000000007,,,,,,,,,,,,,,,,,-0.39999999999999947,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,-1,-1,19.02,1572,1578,21,39,0
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\AgeIIDE_Replay_279527733.aoe2record,-1,4,-4,4,0,1,-44,-39,11,-30,-200,-168,-60,0,46,-193,-20,0,-0.40000000000000036,-0.129999999999999,1.12,0.5399999999999991,,7.720000000000002,0.5499999999999998,0.8000000000000007,1.7900000000000063,,,,-7.700000000000001,,,0.41000000000000014,,,,8.0,4.099999999999994,-2.099999999999998,,0.5500000000000007,,,,,,,,,,,,,,,,,,,,,,,2.6600000000000037,3,-6,2,0,1,43.47,1538,1595,36,19,0
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\AgeIIDE_Replay_318257793.aoe2record,2,18,15,0,0,18,12,0,-41,608,-47,0,-87,-1,561,-69,5,0,,5.739999999999998,,,,-0.22999999999999865,-0.20000000000000018,5.320000000000002,,,,,,,,,,,,,,,,-1.67,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,0,0,29.27,1829,1705,15,24,1
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\AgeIIDE_Replay_321368513.aoe2record,-1,-2,56,-35,0,-14,48,48,-232,-203,11,-275,-177,6,-587,-73,42,0,-2.0,-16.32,0.3099999999999996,-7.470000000000001,2.76,6.360000000000001,0.3600000000000003,-0.00999999999999801,2.989999999999995,,,,-10.299999999999999,,,-0.16000000000000014,,,,0.4499999999999993,-4.119999999999997,,,-0.1200000000000001,-9.849999999999998,-8.030000000000001,,7.25,,,-17.590000000000003,-4.230000000000004,,5.629999999999999,16.240000000000002,,-9.939999999999998,,,,9.280000000000001,,,,,,,7,5,0,0,0,44.13,1702,1645,36,26,1
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\AgeIIDE_Replay_322457972.aoe2record,-13,7,0,0,0,-2,0,0,-93,825,0,0,-22,-15,317,116,325,0,0.7999999999999989,,-6.5600000000000005,,,-0.9100000000000001,-0.05000000000000071,,,,,,,,,,,,,,,,,-2.04,,,,,,,,,,,,,,,,,,,,,,,,0,1,-1,0,1,22.06,1743,1678,10,4,1
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\AgeIIDE_Replay_322460723.aoe2record,9,0,-21,0,2,6,20,0,182,-214,-58,0,-18,3,15,-21,-51,0,-4.9,1.259999999999998,0.1800000000000006,10.59,2.67,7.299999999999999,0.8300000000000001,0.23000000000000043,,,,,,,,,,,,,,,,0.3099999999999996,0.05000000000000071,,,,,,0.5700000000000003,,,,,,,,,,,,,,,,,0,0,0,0,0,27.02,1665,1715,29,2,0
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\AgeIIDE_Replay_326854530.aoe2record,-9,3,0,0,0,-15,0,0,233,494,-7,0,-60,-7,693,45,73,0,-5.59,,-2.2800000000000002,,0.08000000000000007,1.3399999999999999,-0.8600000000000003,1.6600000000000001,,-3.8000000000000007,,,,,,,,,,,,,,5.590000000000001,,,,,,,,,,0.6600000000000001,,,,,,,,,,,,,,-1,1,0,0,0,20.62,1705,1745,20,16,0
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\AgeIIDE_Replay_456982423.aoe2record,-10,15,-11,-12,-5,10,33,22,-16,-211,-97,-249,-150,8,87,-36,-457,0,-3.0600000000000005,-0.35999999999999943,2.7600000000000007,,-30.42,2.630000000000001,0.11000000000000032,0.019999999999999574,0.4299999999999997,-13.970000000000002,-4.080000000000005,,-5.609999999999999,,,,,,,-2.759999999999998,,-13.040000000000001,,-4.5600000000000005,,,,6.210000000000001,,,,,,-13.970000000000002,-12.469999999999999,0.45999999999999375,6.879999999999999,,,,,,,,,,,2,0,3,0,0,42.57,2595,2772,57,57,1
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\Burgundian vs Turks.aoe2record,-13,5,-43,42,0,-2,-36,-99,38,377,146,474,268,6,610,253,-10,0,0.4800000000000004,-5.640000000000001,0.0,-1.6600000000000001,-3.600000000000005,-4.58,-1.5500000000000007,0.75,-1.379999999999999,-2.3900000000000006,-7.740000000000002,,0.1899999999999995,6.139999999999997,,-0.16000000000000014,,,,16.919999999999998,-4.0,-2.6400000000000006,,-0.0699999999999994,1.8000000000000007,,,,,,1.620000000000001,3.8999999999999986,0.5899999999999963,,,,,,,,4.030000000000001,,,,,,,-3,-2,-1,-2,0,52.88,1478,1484,10,36,0
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.102.13221.0 #(78757) @2023.04.04 225504 (1).aoe2record,-3,12,0,0,0,-7,0,0,-23,12,0,0,12,1,-103,82,3,0,-7.550000000000001,,-0.08000000000000007,,1.1400000000000006,,0.35000000000000053,,,,,,,,,,,,,,,,,0.29000000000000004,,,,,,,,,,,,,,,,,,,,,,,,0,-1,0,0,0,16.92,2224,2348,24,11,0
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.102.24724.0 #(90260) @2023.08.19 224536 (1).aoe2record,-4,-3,-4,14,0,0,-5,29,-14,-63,-137,293,62,10,-389,99,211,0,-3.6000000000000005,-2.9800000000000004,0.27999999999999936,,4.449999999999999,-1.1399999999999988,0.16000000000000014,-1.5500000000000007,-4.560000000000002,-6.289999999999999,-6.370000000000001,,0.0,,,,,,,-1.9800000000000004,,7.970000000000002,,-0.16000000000000014,,,,,,,,,,,,,,,,,,,,,,,,0,-2,2,0,0,33.86,2619,2687,39,14,0
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.102.24724.0 #(90260) @2023.08.21 122712 (1).aoe2record,-5,-9,5,0,0,-12,6,0,-259,-468,101,0,-135,-2,-355,-120,-1,0,-1.5099999999999998,,0.8199999999999994,1.049999999999999,,-1.8500000000000014,0.5,-3.099999999999998,,,,,,,,,,,,,,,,-5.779999999999999,,,,,,,,,,,,,,,,,,,,,,,,0,0,-1,0,1,21.27,1888,1951,6,22,1
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.102.28520.0 @2023.10.23 170526 (1).aoe2record,6,-3,-7,0,2,-1,-9,0,-32,-132,-128,0,-31,-4,-269,-68,63,0,-0.7799999999999994,,-0.15000000000000036,-4.420000000000002,4.1,0.23000000000000043,4.039999999999999,3.580000000000002,,,,,,,,,,,,,,,,4.21,,,,,,,,,,-3.2299999999999986,,,,,,,,,,,,,,0,2,-1,0,-1,26.34,1945,2077,2,12,1
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.102.28520.0 @2023.10.23 175657 (1).aoe2record,10,10,0,0,-3,-2,0,0,-91,-311,0,0,-90,0,-261,17,-50,0,-3.87,,2.45,-5.1,2.460000000000001,,0.05000000000000071,,,,,,,,,,,,,,,,,0.08000000000000007,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,-1,1,18.69,2377,2550,17,43,0
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.102.28520.0 @2023.10.25 113152 (1).aoe2record,3,-21,31,7,0,2,37,7,-148,-200,-104,56,-265,-10,-133,-134,87,0,9.070000000000002,-1.9499999999999993,-0.6899999999999995,-11.979999999999999,-2.4800000000000004,-2.299999999999999,-0.20000000000000018,-2.8299999999999983,-1.6599999999999966,15.48,,,27.410000000000004,,,,,,,-4.410000000000004,,,,0.3100000000000005,,,,,,,-2.669999999999998,,,-2.1500000000000004,-25.740000000000002,,,,,,,,,,,,,5,-2,-4,-1,0,47.8,2314,2506,31,34,1
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.102.33868.0 @2023.12.15 212919 (1).aoe2record,-10,24,-26,0,0,20,10,0,-620,471,-320,0,-23,-9,-268,-69,-138,0,2.049999999999999,5.699999999999999,-8.190000000000001,-9.06,,-0.2900000000000009,-3.8100000000000005,6.330000000000002,,,,,,,,,,,,,,,,-0.8599999999999994,,,,,,,2.3500000000000014,,,,,,,,,,,,,,,,,0,2,1,0,0,28.83,1606,1658,37,31,1
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.102.33868.0 @2023.12.16 204711 (1).aoe2record,4,-12,1,0,0,-1,0,0,51,144,128,0,58,4,220,105,-43,0,-7.62,-5.51,0.4599999999999991,,-0.2900000000000009,1.2200000000000006,-1.29,-4.140000000000001,,,,,,,,,,,,,,,,-0.8799999999999999,,,,,,,,,,1.5500000000000007,,,,,,,,,,,,,,0,0,0,0,0,18.09,1667,1672,12,5,0
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.102.33868.0 @2023.12.17 133106 (2).aoe2record,-7,-8,0,0,0,2,-17,0,278,145,257,0,97,-2,637,17,-35,0,0.8599999999999994,,-0.5099999999999998,0.4200000000000017,,1.129999999999999,1.0599999999999996,-0.9199999999999982,,,,,4.279999999999999,,,,,,,,,,,-0.1899999999999995,,,,,,,,,,,,,,,,,,,,,,,,-1,0,-1,0,-1,28.1,1593,1624,14,12,1
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.102.33868.0 @2023.12.17 134952 (2).aoe2record,1,2,2,0,0,1,10,0,153,334,153,0,-31,10,716,-26,-43,0,1.2899999999999991,19.76,-0.15000000000000036,-3.5299999999999976,-0.09999999999999964,1.4000000000000004,0.0,3.2699999999999996,,-3.630000000000001,,,,,,,,,,,,,,0.019999999999999574,,,,,,,,,,1.2300000000000004,,,,,,,,,,,,,,-1,2,2,0,0,38.05,1643,1607,2,39,1
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.102.33868.0 @2023.12.17 142040 (1).aoe2record,4,2,46,-13,0,0,58,-17,-230,-109,-345,-133,-51,-15,-525,-318,49,0,8.18,-8.120000000000001,-0.5899999999999999,-0.009999999999999787,,4.0,0.07000000000000028,0.9199999999999982,,,,,-22.53,,,,,,,-1.1499999999999986,,,,-0.3600000000000003,,,,,,,-11.34,,,,,,,,,1.0300000000000011,3.400000000000002,,,,,,,0,1,1,0,0,47.29,1593,1645,22,27,0
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.102.33868.0 @2023.12.17 200557 (2).aoe2record,-1,-5,-123,0,0,-3,-28,0,-6,47,173,0,-42,-4,528,140,-39,0,-1.0999999999999996,-0.7299999999999969,0.3699999999999992,-9.389999999999999,2.9700000000000006,1.4100000000000001,-0.020000000000000462,-0.38000000000000256,,,,,-10.860000000000001,,,-23.01,,,,,,,,-0.28000000000000025,3.5599999999999987,,,,,,-0.22999999999999687,-14.8,,25.21,,,,,,,,,,,,,,-4,0,0,0,0,43.73,1572,1579,8,13,0
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.102.33868.0 @2023.12.18 144230 (1).aoe2record,2,6,-67,-22,0,-1,-9,-34,19,49,-283,-65,-51,-10,154,-61,-98,0,1.0099999999999998,23.240000000000002,-0.3099999999999987,-11.15,2.0999999999999996,0.5899999999999999,-0.3700000000000001,2.1499999999999986,-0.3999999999999986,-0.07000000000000028,-4.259999999999998,,-11.23,,,-9.900000000000002,,,,1.7300000000000004,,-4.52,,-0.6600000000000001,,,,,,,,,,3.5599999999999987,2.1799999999999997,-0.3999999999999986,,,,0.25,2.5199999999999996,,,,,,-0.25,0,-6,-2,0,0,42.41,2336,2450,45,9,0
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.102.33868.0 @2023.12.20 144448 (2).aoe2record,-1,4,-4,4,0,1,-44,-39,11,-30,-200,-168,-60,0,46,-193,-20,0,-0.40000000000000036,-0.129999999999999,1.12,0.5399999999999991,,7.720000000000002,0.5499999999999998,0.8000000000000007,1.7900000000000063,,,,-7.700000000000001,,,0.41000000000000014,,,,8.0,4.099999999999994,-2.099999999999998,,0.5500000000000007,,,,,,,,,,,,,,,,,,,,,,,2.6600000000000037,3,-6,2,0,1,43.47,1538,1595,36,19,0
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.102.33868.0 @2023.12.20 163439 (2).aoe2record,7,7,22,5,0,4,-15,-13,235,298,136,-57,-48,9,381,69,292,0,1.1099999999999994,-17.38,-0.22999999999999954,-0.5999999999999996,,5.949999999999999,-0.47999999999999954,-0.33999999999999986,0.9100000000000001,,,,-0.6799999999999997,,,-0.7300000000000004,,,,-1.129999999999999,-1.8000000000000007,0.16000000000000014,,-0.9799999999999995,14.459999999999997,,,,,,0.8099999999999987,2.2300000000000004,,,,,,,,-0.9299999999999997,,,,,,,,0,4,-3,0,1,34.42,1570,1608,9,30,0
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.102.33868.0 @2023.12.23 160844 (1).aoe2record,0,-10,22,0,3,-15,-1,0,-19,-141,127,0,16,3,-199,111,19,0,2.05,-3.5700000000000003,-1.54,0.23000000000000043,,-3.879999999999999,0.41000000000000014,-1.6699999999999982,,,,,4.200000000000001,,,,,,,,,,,-0.41000000000000014,-1.4199999999999982,,,,,,,,,,,,,,,,,,,,,,,-2,-1,-1,0,0,27.89,1640,1667,32,7,1
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.102.33868.0 @2023.12.25 204721 (1).aoe2record,-6,0,0,0,2,2,0,0,-120,64,0,0,15,-7,-113,0,47,0,,,-4.370000000000001,,,,-0.39000000000000057,,,,,,,,,,,,,,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,9.85,1743,1789,20,6,1
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.102.33868.0 @2023.12.26 191601 (1).aoe2record,-3,3,24,14,0,-10,-15,-6,-94,44,-71,-70,26,9,-226,54,-68,0,-3.4800000000000004,6.760000000000002,1.08,,-0.6199999999999992,3.6000000000000014,-0.8200000000000003,1.5600000000000023,0.9899999999999984,-18.879999999999995,-2.220000000000006,,-11.049999999999999,,,,,,,-9.540000000000003,,,,-0.9100000000000001,,,,,,,,,,5.449999999999999,1.8299999999999983,1.5,,,,,,,,,,,3.1599999999999966,0,-4,1,0,1,41.71,1844,1845,45,9,0
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.102.33868.0 @2023.12.30 201814 (2).aoe2record,2,-5,-9,0,0,5,0,0,160,119,81,0,80,9,161,73,32,0,-5.890000000000001,,0.5400000000000009,0.5,3.42,4.600000000000001,0.0,-0.19000000000000128,,,,,,,,,,,,,,,,0.4399999999999995,1.4100000000000001,4.030000000000001,,,,,-0.7699999999999996,,,,,,,,,-1.879999999999999,,,,,,,,0,-1,0,0,-1,31.69,1771,1657,38,27,1
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.102.33868.0 @2023.12.30 204126 (1).aoe2record,1,27,-17,0,0,25,-20,0,-324,-320,-389,0,-79,-5,-1045,43,22,0,1.83,,1.75,-5.09,2.49,3.9399999999999995,0.5599999999999996,,,-0.03999999999999915,,,-11.25,,,,,,,,,,,0.45999999999999996,,,,,,,,,,2.6500000000000004,,,,,,,,,,,,,,0,1,0,0,1,27.28,1646,1619,37,39,0
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.102.33868.0 @2023.12.30 205940 (2).aoe2record,3,-9,16,-14,4,-4,11,-52,3,-310,28,-137,27,5,-283,-89,-34,0,-1.5600000000000005,13.82,-2.5599999999999996,0.0,1.58,0.7599999999999998,1.870000000000001,-1.9699999999999989,1.4499999999999993,,,,13.74,,,,,,,2.59,,,,4.42,,,,,,,,,,3.630000000000001,,,,,,,,,,,,,-2.8299999999999983,2,-3,-2,0,0,41.83,1626,1629,29,20,0
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.102.39418.0 @2024.03.08 232931 (1).aoe2record,-4,12,2,0,-5,8,-5,0,-275,-42,-174,0,-30,13,-404,-60,-3,0,2.459999999999999,-1.5599999999999987,0.9799999999999995,-4.709999999999999,1.3100000000000005,-0.7800000000000011,-0.6799999999999997,1.4600000000000009,,0.23000000000000043,,,-11.440000000000001,,,,,,,2.1999999999999993,,,,-1.2599999999999998,,,,,,,-1.3500000000000014,,,2.5,,,,,,,,,,,,,,0,0,0,0,0,24.35,1879,1847,8,25,0
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.102.46236.0 @2024.05.04 235425 (1).aoe2record,-13,6,-24,3,-3,7,6,0,-29,498,395,14,14,2,644,156,57,0,0.7599999999999998,-4.259999999999998,4.829999999999999,-8.420000000000002,-2.4800000000000004,1.5600000000000023,-2.7299999999999995,0.9800000000000004,,,,,-2.49,,,,,,,,,,,4.69,,,,,,,,,,,,,,,,,,,,,,,,-2,3,1,0,0,37.85,1612,1634,38,3,1
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.102.46236.0 @2024.05.05 211717 (1).aoe2record,0,4,33,-6,0,-6,51,-16,-156,2,217,-264,-19,-36,53,-458,116,0,6.389999999999999,-5.459999999999997,0.3099999999999996,-10.600000000000001,,1.25,-0.47999999999999954,0.13000000000000256,4.219999999999999,,,,-11.21,,,-0.010000000000001563,,,,,,15.91,,-0.17999999999999972,-0.7200000000000024,,,-9.129999999999999,-11.449999999999996,,-32.87,,,27.080000000000002,,,,,,-5.830000000000002,-7.050000000000001,,,,,,,1,-2,-1,1,-1,46.8,1862,1819,32,26,1
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.102.46236.0 @2024.05.10 220138 (2).aoe2record,3,1,0,0,0,0,0,0,95,-65,0,0,5,-4,60,8,-27,0,0.3200000000000003,,1.3800000000000008,7.52,-1.9299999999999997,-0.7099999999999991,0.17999999999999972,,,,,,2.6500000000000004,,,,,,,,,,,0.20000000000000018,,,,,,,,,,,,,,,,,,,,,,,,0,-1,0,0,-1,18.67,1661,1615,11,42,0
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.102.46236.0 @2024.05.10 222220 (1).aoe2record,3,7,24,0,0,-18,1,0,86,-24,69,0,13,5,-65,107,34,0,3.88,4.43,-0.9700000000000006,,-1.6300000000000008,-3.9499999999999993,-1.6300000000000008,-2.5500000000000007,,-8.130000000000003,,,,,,,,,,,,,,-0.45999999999999996,,,,,,,,,,-4.109999999999999,-6.850000000000001,,,,,,,,,,,,,0,0,1,-1,0,31.39,1633,1577,40,9,1
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.102.46236.0 @2024.05.12 104130 (1).aoe2record,6,-9,0,0,0,6,2,0,119,20,25,0,28,-2,51,4,28,0,-0.4399999999999995,,-0.15000000000000036,0.4299999999999997,,-4.1,0.8199999999999994,-0.3100000000000023,,,,,-0.5500000000000007,,,,,,,,,,,0.8300000000000001,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,-1,22.67,1646,1659,36,10,1
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.102.46236.0 @2024.05.12 204312 (1).aoe2record,4,5,-2,0,-3,8,2,0,19,133,9,0,17,13,59,38,19,0,0.0,0.9199999999999982,2.84,,-1.1100000000000012,-0.8699999999999992,-0.08000000000000007,0.35999999999999943,,-4.600000000000001,,,,,,,,,,,,,,-0.040000000000000036,,,,,,,,,,-1.3900000000000006,0.41999999999999815,,,,,,,,,,,,,0,0,1,0,0,23.54,1647,1669,33,35,1
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.102.47822.0 @2024.05.17 225605 (1).aoe2record,-12,1,0,0,4,1,0,0,26,29,0,0,29,-6,3,19,6,0,,,-1.9399999999999995,,,,-0.41999999999999993,,,,,,,,,,,,,,,,,-0.41000000000000014,,,,,,,,,,,,,,,,,,,,,,,,0,-1,1,0,0,10.54,1664,1675,5,2,1
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.102.47822.0 @2024.05.18 090737 (1).aoe2record,-5,-12,0,0,0,-8,0,0,98,-30,0,0,-11,15,115,11,-11,0,,,0.16999999999999993,,-4.859999999999999,-1.5200000000000014,0.08000000000000007,,,,,,,,,,,,,,,,,-0.6500000000000004,,,,,,,,,,-3.1500000000000004,,,,,,,,,,,,,,0,-1,0,0,0,18.34,1622,1650,12,30,1
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.102.47822.0 @2024.05.18 101832 (1).aoe2record,9,8,-13,31,0,-6,-37,73,-69,-130,-208,28,-166,-8,31,-194,-71,0,-3.76,-11.399999999999999,-0.6899999999999995,-10.950000000000001,0.9900000000000002,-1.58,-0.4499999999999993,1.879999999999999,-0.5700000000000003,-10.530000000000001,-8.239999999999998,,-7.529999999999999,,,-8.120000000000001,,7.830000000000002,,-13.05,,,,5.75,-0.36999999999999744,1.5600000000000023,3.3299999999999983,,,,8.160000000000004,,,-2.59,1.870000000000001,9.479999999999997,,,,-11.57,-9.41,,,,,,,4,7,2,2,0,48.4,1901,2034,20,6,0
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.102.47822.0 @2024.05.18 114655 (1).aoe2record,0,7,0,0,0,-2,0,0,83,8,0,0,-24,9,141,1,-36,0,-3.539999999999999,,-0.0600000000000005,0.3500000000000014,,-0.6500000000000021,0.33000000000000007,,,,,,,,,,,,,,,,,-0.09999999999999964,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,17.95,1726,1742,22,19,0
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.102.47822.0 @2024.05.18 232619 (1).aoe2record,-6,6,0,0,-1,5,0,0,87,310,0,0,31,4,266,88,8,0,,,-0.41000000000000014,,-1.1999999999999993,0.23000000000000043,-1.3000000000000007,,,,,,,,,,,,,,,,,-1.4400000000000004,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,15.42,1838,1842,13,31,1
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.102.47822.0 @2024.05.19 095942 (2).aoe2record,-1,-3,-81,13,0,-4,-158,72,13,-71,-528,552,131,0,51,11,-51,0,-0.5199999999999996,0.6899999999999977,-1.2200000000000006,-10.559999999999999,3.9299999999999997,3.039999999999999,0.11000000000000032,0.33000000000000185,-11.82,-2.0799999999999983,,,-24.4,,,,,,,-11.530000000000001,,18.43,,0.7199999999999998,-7.869999999999997,,,,,,,,,-0.4499999999999993,18.44,,,,,,-0.9299999999999997,,,,,,,-6,2,-2,-3,1,50.29,1685,1697,23,31,1
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.102.48944.0 @2024.06.21 234028 (1).aoe2record,-1,-2,56,-35,0,-14,48,48,-232,-203,11,-275,-177,6,-587,-73,42,0,-2.0,-16.32,0.3099999999999996,-7.470000000000001,2.76,6.360000000000001,0.3600000000000003,-0.00999999999999801,2.989999999999995,,,,-10.299999999999999,,,-0.16000000000000014,,,,0.4499999999999993,-4.119999999999997,,,-0.1200000000000001,-9.849999999999998,-8.030000000000001,,7.25,,,-17.590000000000003,-4.230000000000004,,5.629999999999999,16.240000000000002,,-9.939999999999998,,,,9.280000000000001,,,,,,,7,5,0,0,0,44.13,1702,1645,36,26,1
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.102.48944.0 @2024.06.26 224234 (2).aoe2record,9,0,-21,0,2,6,20,0,182,-214,-58,0,-18,3,15,-21,-51,0,-4.9,1.259999999999998,0.1800000000000006,10.59,2.67,7.299999999999999,0.8300000000000001,0.23000000000000043,,,,,,,,,,,,,,,,0.3099999999999996,0.05000000000000071,,,,,,0.5700000000000003,,,,,,,,,,,,,,,,,0,0,0,0,0,27.02,1665,1715,29,2,0
