filepath,villagers_dark_age_delta,villagers_feudal_age_delta,villagers_castle_age_delta,villagers_imperial_age_delta,mil_trained_dark_age_delta,mil_trained_feudal_age_delta,mil_trained_castle_age_delta,mil_trained_imperial_age_delta,apm_dark_age_delta,apm_feudal_age_delta,apm_castle_age_delta,apm_imperial_age_delta,gather_point_count_delta,wall_count_delta,move_count_delta,order_count_delta,stance_count_delta,ungarrison_count_delta,first_wall_min_delta,market_min_delta,first_barracks_min_delta,first_stable_min_delta,first_archery_min_delta,blacksmith_min_delta,feudal_min_delta,castle_min_delta,imperial_min_delta,double_bit_axe_min_delta,bow_saw_min_delta,two_man_saw_min_delta,horse_collar_min_delta,heavy_plow_min_delta,crop_rotation_min_delta,gold_mining_min_delta,gold_shafting_mining_min_delta,stone_mining_min_delta,stone_shafting_mining_min_delta,wheelbarrow_min_delta,hand_cart_min_delta,town_watch_min_delta,town_patrol_min_delta,loom_min_delta,forging_min_delta,iron_casting_min_delta,blast_furnace_min_delta,scale_mail_armor_min_delta,chain_mail_armor_min_delta,plate_mail_armor_min_delta,scale_barding_armor_min_delta,chain_barding_armor_min_delta,plate_barding_armor_min_delta,fletching_min_delta,bodkin_arrow_min_delta,bracer_min_delta,padded_archer_armor_min_delta,leather_archer_armor_min_delta,ring_archer_armor_min_delta,bloodlines_min_delta,husbandry_min_delta,thumb_ring_min_delta,parthian_tactics_min_delta,arson_min_delta,gambeson_min_delta,squires_min_delta,chemistry_min_delta,barracks_count_delta,stable_count_delta,archery_count_delta,blacksmith_count_delta,market_count_delta,duration_min,p1_elo,p2_elo,p1_civ,p2_civ,result
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.103.31214.0 @2026.02.09 231152 (1).aoe2record,6,1,46,8,-4,-1,-4,28,-123,-101,-402,87,93,12,-723,72,-98,0,-2.0199999999999996,-1.9799999999999986,3.1100000000000003,-9.84,4.610000000000001,3.379999999999999,-0.16999999999999993,-1.259999999999998,-3.8500000000000014,-23.520000000000003,,,-9.9,,,-0.4700000000000024,,,,-5.270000000000003,,,,6.05,18.34,,,,,,23.66,,,3.0700000000000003,-1.240000000000002,,,,,16.770000000000003,,,,,,,-3.3200000000000003,0,-2,-1,0,0,44.55,1852,1772,9,4,1
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.103.31214.0 @2026.02.12 001403 (1).aoe2record,3,-5,52,-1,0,-3,33,-32,34,-288,8,-285,48,5,-840,115,0,0,0.620000000000001,6.280000000000001,0.2400000000000002,0.5,-3.1400000000000006,4.479999999999999,0.3600000000000003,-1.3100000000000023,3.8999999999999986,,,,1.1999999999999993,,,-1.4100000000000001,,,,8.659999999999997,,,,5.71,20.53,,,19.440000000000005,21.5,,,,,3.629999999999999,-22.509999999999998,,,,,,,,,,,,-0.19000000000000483,-4,5,1,-1,0,46.97,1864,1887,42,6,0
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.103.31214.0 @2026.02.12 004824 (2).aoe2record,-3,16,-38,0,0,-1,-31,30,134,462,377,207,54,0,1146,10,-30,0,0.03999999999999915,-10.379999999999999,0.6899999999999995,0.08999999999999986,1.3199999999999985,5.720000000000001,0.020000000000000462,0.5100000000000016,-2.509999999999998,5.719999999999999,-14.530000000000001,,-0.5800000000000001,,,15.759999999999998,,,,-5.419999999999998,,-3.879999999999999,,-0.33999999999999986,,,,,,,,,,5.809999999999999,1.8500000000000014,,,,-3.3999999999999986,-19.7,-10.570000000000004,,,,,,-2.530000000000001,0,3,0,0,1,42.34,1973,1849,33,26,1
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.103.31214.0 @2026.02.12 013009 (1).aoe2record,-9,-2,0,0,5,-2,0,0,-190,-56,0,0,7,-8,-257,-29,39,0,2.3500000000000005,,-2.3199999999999994,,0.6099999999999994,,0.5499999999999998,,,,,,,,,,,,,,,,,3.96,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,10.66,1838,1881,5,53,1
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.103.31214.0 @2026.02.13 024110 (1).aoe2record,-3,-1,-3,0,1,-4,12,0,-158,-141,59,0,47,0,-392,75,-3,0,2.0200000000000005,,0.8699999999999992,,-0.7899999999999991,-3.42,-1.7699999999999996,-1.5699999999999967,,2.3999999999999986,-3.3699999999999974,,10.32,,,,,,,1.629999999999999,,,,-1.8200000000000012,,,,,,,,,,-2.780000000000001,-0.629999999999999,,,,,,,,,,,,,0,0,0,0,1,27.81,1856,2042,49,29,1
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.103.31214.0 @2026.02.15 151637 (1).aoe2record,-3,19,-52,-11,0,13,13,30,23,377,-41,92,51,-5,108,167,44,0,0.48,0.9599999999999991,,,,10.670000000000002,-0.6799999999999997,8.25,-0.6999999999999957,-4.719999999999999,,,,,,,,,,2.0600000000000023,,,,-2.000000000000001,,,,,,,,,,-4.710000000000001,-0.9699999999999989,,,,,,,,,,,,,-5,2,3,0,-1,47.81,1880,1758,37,44,1
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.103.31214.0 @2026.02.15 162739 (1).aoe2record,-8,-1,0,0,-5,0,0,0,-186,-14,0,0,-19,-2,-92,12,-87,0,,,3.17,,,,-0.13999999999999968,,,,,,,,,,,,,,,,,-1.0099999999999998,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,9.39,1896,1901,24,39,0
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.103.31214.0 @2026.02.15 222954 (2).aoe2record,7,8,2,-17,-2,7,13,-45,194,188,393,-144,-36,25,405,255,101,0,-2.0700000000000003,,3.0200000000000005,0.8299999999999983,0.7400000000000002,6.85,0.33999999999999986,1.3500000000000014,,,,,-5.790000000000001,,,10.190000000000001,,,,17.68,8.21,,,-1.6899999999999995,0.23000000000000398,,,,,,-0.21000000000000085,0.15000000000000213,,6.09,,,,,,-6.419999999999998,5.860000000000003,,,,,,,-5,1,-1,0,-1,40.23,1759,1891,10,45,0
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.103.31214.0 @2026.02.16 161130 (2).aoe2record,-4,-6,-19,-18,3,13,-12,-50,338,444,231,-184,184,-14,917,-94,-34,0,4.210000000000001,4.100000000000001,-2.5700000000000003,0.08999999999999986,-0.4399999999999995,1.2599999999999998,-0.3600000000000003,2.09,4.350000000000001,11.450000000000003,,,3.9400000000000013,,,-8.400000000000002,,,,-1.3300000000000018,,-5.610000000000003,,-0.3100000000000005,,,,,,,1.1400000000000006,,,26.930000000000003,,,,,,,,,,,,,,1,1,2,0,0,42.1,1784,1887,43,52,0
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.103.31214.0 @2026.02.16 222526 (1).aoe2record,-30,-1,-4,69,2,-2,7,38,-50,137,-114,-80,20,2,-337,14,33,0,-2.450000000000001,15.57,0.08999999999999986,,0.15000000000000036,5.42,0.1200000000000001,0.8099999999999987,0.3200000000000003,0.740000000000002,,,4.049999999999997,9.89,,7.459999999999997,,,,-8.530000000000001,-9.39,-9.059999999999999,,6.33,-15.239999999999995,-14.71,-12.650000000000006,,,,,,,7.760000000000002,0.5700000000000003,7.880000000000003,,,,,,,,,,,7.869999999999997,-11,13,-7,0,0,55.73,1898,1754,30,16,0
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.103.31214.0 @2026.02.16 230442 (2).aoe2record,-2,1,6,-2,0,-6,-21,-5,25,57,395,-175,-40,0,553,-174,-31,0,0.21000000000000085,26.39,0.08000000000000007,-37.230000000000004,2.91,4.379999999999999,-0.1299999999999999,-0.9600000000000009,3.990000000000002,-2.469999999999999,1.0999999999999979,,-0.2400000000000002,-2.9399999999999977,,1.5300000000000011,,,,6.859999999999999,4.680000000000003,11.129999999999999,,3.1800000000000006,,,,,,,-7.229999999999997,,,4.330000000000002,-0.14000000000000057,4.100000000000001,,,,,,-11.390000000000004,,,,,6.43,-2,10,2,2,0,46.96,1851,1876,22,31,0
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.103.31214.0 @2026.02.17 020237 (1).aoe2record,-4,-8,20,0,0,-28,-18,1,-89,-249,168,10,22,12,-171,15,-2,0,-7.779999999999998,-2.5599999999999987,-0.4500000000000002,-2.460000000000001,,-1.3200000000000003,-0.02999999999999936,-3.289999999999999,,,,,3.2900000000000063,,,-7.449999999999999,,,,0.39000000000000057,,-4.950000000000003,,0.03000000000000025,,,,,,,3.3100000000000023,,,,,,,,,,,,,,,,,1,-5,1,0,0,42.9,1874,1952,43,37,1
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.103.31214.0 @2026.02.17 134122 (1).aoe2record,-1,2,38,81,0,3,-5,35,-380,-116,-194,-278,-100,-6,-900,-177,50,0,23.32,-21.9,27.619999999999997,-10.44,3.200000000000001,3.870000000000001,-0.54,0.5199999999999996,2.1799999999999997,-21.270000000000003,-21.189999999999998,,-0.6300000000000008,-10.530000000000001,,18.37,,,,13.919999999999998,4.57,-38.95,,-1.2000000000000002,15.620000000000001,1.970000000000006,,1.8800000000000026,1.6599999999999966,,,,,3.8200000000000003,-18.73,-2.8900000000000006,,,,26.729999999999997,24.19,,,,,,,5,-3,-3,-1,0,50.78,1894,1990,28,51,0
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.103.31214.0 @2026.02.17 141346 (1).aoe2record,3,3,-29,41,-3,15,-2,-78,-311,13,-199,-237,-35,0,-597,-35,-17,0,-6.290000000000001,-15.770000000000003,1.6099999999999994,18.159999999999997,-4.65,-0.5500000000000007,-0.5,1.759999999999998,-0.36999999999999744,10.370000000000001,4.590000000000003,,0.5699999999999985,24.049999999999997,,,,,,-9.91,9.149999999999999,7.699999999999999,,0.16999999999999993,10.559999999999995,,,,,,11.530000000000001,,,-1.2299999999999986,1.4499999999999993,-0.30999999999999517,,8.919999999999995,,20.97,24.32,1.4299999999999997,6.949999999999996,,,,,0,-6,0,0,0,54.16,1882,1944,10,32,0
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.103.31214.0 @2026.02.17 144758 (1).aoe2record,2,10,27,0,-5,0,-18,0,-205,-285,116,0,18,-17,-422,-65,44,0,1.2699999999999996,2.1799999999999997,3.2,,-1.2400000000000002,-4.25,-1.58,-2.419999999999998,,,,,,,,,,,,,,-3.74,,-2.0500000000000007,,,,,,,,,,-4.040000000000001,,,,,,,,,,,,,,-2,1,1,0,0,31.74,1869,1957,4,43,0
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.103.31214.0 @2026.02.17 150830 (1).aoe2record,-1,7,-22,0,-2,20,-6,0,-171,-79,-245,0,8,-2,-390,-3,-72,0,-2.34,,2.37,,-0.25,4.0699999999999985,-0.2599999999999998,1.3900000000000006,,3.370000000000001,,,,,,,,,,,,,,-0.33999999999999986,,,,,,,,,,3.4000000000000004,1.2199999999999989,,,,,,,,,,,,,0,0,1,0,1,31.22,1857,2097,33,26,0
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.103.31214.0 @2026.02.17 153149 (1).aoe2record,3,7,5,0,-4,8,13,0,-87,-173,55,0,49,8,-399,89,-2,0,,,2.25,-7.460000000000001,1.0199999999999996,1.7699999999999996,-0.34999999999999964,-0.6600000000000001,,5.57,,,-6.299999999999999,,,,,,,,,,,-0.28000000000000025,,,,,,,,,,1.6999999999999993,-1.4500000000000028,,,,,,,,,,,,,0,0,1,1,0,24.9,1851,1873,51,17,1
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.103.31214.0 @2026.02.17 214339 (1).aoe2record,-3,1,35,0,0,-1,3,0,-69,-138,-82,0,12,-1,-278,8,-108,0,1.46,8.86,-0.2999999999999998,-0.019999999999999574,-1.6600000000000001,-0.4499999999999993,0.1200000000000001,-0.25,,-2.4399999999999977,,,,,,2.169999999999998,,,,,,,,-5.5600000000000005,,,,,,,,,,-0.370000000000001,-0.46000000000000085,,,,,,,,,,,,,0,0,0,0,0,29.99,1868,2094,6,33,1
C:\Users\liher\Games\Age of Empires 2 DE\76561198151543542\savegame\MP Replay v101.103.31214.0 @2026.02.17 221325 (1).aoe2record,3,1,46,-14,0,8,21,29,161,-99,361,-245,11,3,123,-30,-58,0,2.410000000000001,-3.3299999999999983,0.1299999999999999,-0.2400000000000002,-1.7900000000000027,3.1099999999999994,-0.1900000000000004,-0.07000000000000028,3.740000000000002,20.799999999999997,,,,,,,,,,4.969999999999999,-9.420000000000002,10.540000000000003,,0.3699999999999992,,,,,,,-3.3299999999999983,-1.3900000000000006,1.7299999999999969,-2.490000000000002,-0.5999999999999979,3.460000000000001,,-2.979999999999997,,,-1.480000000000004,-2.799999999999997,-2.8200000000000003,,,,,4,3,-6,-1,0,45.45,1893,1895,22,53,0
