feature,win_mean,loss_mean,p_value,cohens_d,abs_d,significant
hand_cart_min,-5.059,-0.5328571428571433,0.14010427874414558,-0.6486818655347617,0.6486818655347617,False
chemistry_min,-0.482857142857143,1.9006249999999993,0.13265450691924904,-0.579908787037485,0.579908787037485,False
bracer_min,-0.9787500000000016,1.8489473684210531,0.03148764728621751,-0.5648221287016149,0.5648221287016149,True
imperial_min,-0.5060714285714288,1.3383673469387758,0.053286272969802345,-0.5560978438074244,0.5560978438074244,False
wheelbarrow_min,-2.653225806451613,2.292372881355932,0.016260916480682674,-0.47599087938796636,0.47599087938796636,True
heavy_plow_min,5.232857142857144,1.5552631578947371,0.3256602695730657,0.45174319081247577,0.45174319081247577,False
mil_trained_imperial_age,4.906666666666666,-16.39,0.00016435399808015515,0.40508816867678143,0.40508816867678143,True
town_watch_min,1.6642857142857144,-2.789444444444444,0.35844470902470227,0.38840555657602743,0.38840555657602743,False
villagers_dark_age,-1.4,0.56,0.014023487143571534,-0.3159825038815643,0.3159825038815643,True
scale_mail_armor_min,4.105454545454547,0.8250000000000005,0.450704726487549,0.31081330347153596,0.31081330347153596,False
iron_casting_min,-1.431666666666666,0.9189473684210531,0.45304410683890206,-0.3044710629259222,0.3044710629259222,False
apm_dark_age,-24.373333333333335,30.74,0.03748274597770695,-0.30404809504682884,0.30404809504682884,True
bloodlines_min,-0.8492857142857149,3.033214285714286,0.2568063363603299,-0.29722857963846316,0.29722857963846316,False
feudal_min,-0.18337837837837842,0.08303030303030302,0.31201290635640655,-0.24415857556296347,0.24415857556296347,False
market_min,-1.053818181818182,1.1784722222222221,0.23803159569996146,-0.22825728871154002,0.22825728871154002,False
castle_min,-0.022812499999999625,0.4700000000000001,0.01126115496609196,-0.22575343584188137,0.22575343584188137,True
villagers_castle_age,2.8133333333333335,-3.98,0.30313965269814436,0.21637235273632974,0.21637235273632974,False
market_count,-0.04,0.09,0.23112474321192755,-0.21055871436317064,0.21055871436317064,False
loom_min,-0.21946666666666667,0.3091,0.27241184680034125,-0.20485593155312037,0.20485593155312037,False
husbandry_min,-0.38562499999999966,1.5467857142857149,0.3230701497430064,-0.20003964449452397,0.20003964449452397,False
move_count,-11.44,81.46,0.2899102863470987,-0.19112536359102633,0.19112536359102633,False
chain_mail_armor_min,1.618333333333332,4.062,1.0,-0.18706191611030124,0.18706191611030124,False
chain_barding_armor_min,-4.582000000000001,-2.6133333333333346,0.48555695756217077,-0.18098752571053833,0.18098752571053833,False
stable_count,0.64,-0.06,0.2951450197147716,0.17276165390798717,0.17276165390798717,False
archery_count,0.3466666666666667,-0.1,0.6857238252507276,0.1677823008728921,0.1677823008728921,False
forging_min,-1.0167857142857144,0.4413513513513513,0.1703199396549837,-0.1645288533623073,0.1645288533623073,False
