feature,win_mean,loss_mean,p_value,cohens_d,abs_d,significant
wheelbarrow_min,24.241327433628317,26.458613861386137,0.04036485190758521,-0.27926260825954413,0.27926260825954413,True
imperial_min,34.55494845360825,35.41282051282051,0.20683102837894995,-0.2225530936119193,0.2225530936119193,False
apm_dark_age,488.50857142857143,516.52,0.06361785982638402,-0.2165019079531348,0.2165019079531348,False
villagers_dark_age,21.274285714285714,22.194285714285716,0.08940466426673462,-0.18560453649830197,0.18560453649830197,False
feudal_min,6.9163428571428565,7.043468208092485,0.8361954189487504,-0.16474044108251454,0.16474044108251454,False
loom_min,5.638057142857144,5.908742857142857,0.6404845186451521,-0.14085487638424257,0.14085487638424257,False
first_wall_min,9.229822485207098,8.818988095238096,0.0743069015123807,0.135282686302189,0.135282686302189,False
first_barracks_min,7.5480357142857155,8.00315476190476,0.7209462790659968,-0.132971526981287,0.132971526981287,False
market_min,20.335899280575543,21.217112676056338,0.4846053057792644,-0.12524812319855705,0.12524812319855705,False
move_count,1014.56,1066.0114285714285,0.40986560611147294,-0.11617895923002275,0.11617895923002275,False
barracks_count,2.28,1.9485714285714286,0.36632186859193816,0.1116258636066655,0.1116258636066655,False
mil_trained_imperial_age,58.06285714285714,46.59428571428571,0.11174473268858814,0.09929563770711508,0.09929563770711508,False
gold_mining_min,21.999320388349513,22.610125,0.47573168395779686,-0.09651754309531665,0.09651754309531665,False
stable_count,3.1085714285714285,2.8,0.35173690685378134,0.08722769324516437,0.08722769324516437,False
archery_count,2.36,2.1542857142857144,0.5144451640149573,0.08340226017828485,0.08340226017828485,False
bodkin_arrow_min,25.587758620689655,24.972087912087908,0.9888084559734994,0.08262097297967476,0.08262097297967476,False
gather_point_count,133.70857142857142,139.46857142857144,0.5264502183271595,-0.0773452607770215,0.0773452607770215,False
villagers_castle_age,58.89714285714286,55.417142857142856,0.45915922665622777,0.0765111494389648,0.0765111494389648,False
mil_trained_feudal_age,15.062857142857142,15.788571428571428,0.8391248943516608,-0.07120594374913798,0.07120594374913798,False
mil_trained_dark_age,0.7314285714285714,0.8571428571428571,0.9906910155253501,-0.06576031246661099,0.06576031246661099,False
fletching_min,19.07744966442953,18.595581395348837,0.9970161212844235,0.06490889532636529,0.06490889532636529,False
forging_min,27.81555555555555,28.37719512195121,0.49759232890137406,-0.062201822808880106,0.062201822808880106,False
double_bit_axe_min,24.279381443298973,23.788901098901103,0.5889069714725352,0.05756452864262247,0.05756452864262247,False
castle_min,18.35157894736842,18.490272108843534,0.21708968517752913,-0.05702570139638927,0.05702570139638927,False
blacksmith_count,1.0742857142857143,1.0514285714285714,0.5299592812680478,0.04692417712030975,0.04692417712030975,False
horse_collar_min,15.426258992805755,15.086323529411763,0.9359361487705451,0.04622255952289383,0.04622255952289383,False
villagers_imperial_age,17.645714285714284,19.142857142857142,0.49556128814366585,-0.044535419088193966,0.044535419088193966,False
apm_castle_age,633.2628571428571,652.8057142857143,0.9480389060913565,-0.04155226882755094,0.04155226882755094,False
wall_count,10.834285714285715,11.131428571428572,0.6472056092336406,-0.04100044249285926,0.04100044249285926,False
order_count,306.54285714285714,311.77142857142854,0.9099870745879219,-0.037441307923255354,0.037441307923255354,False
apm_imperial_age,235.30857142857144,221.10285714285715,0.14460561462729757,0.0368138725773811,0.0368138725773811,False
blacksmith_min,14.98109090909091,14.860246913580248,0.5965352355242137,0.03607200693318788,0.03607200693318788,False
first_archery_min,12.367027027027026,12.56095890410959,0.2826722719311333,-0.03538849040115924,0.03538849040115924,False
apm_feudal_age,560.6628571428571,567.8857142857142,0.391215253585689,-0.029147077530472975,0.029147077530472975,False
first_stable_min,13.162255639097744,12.997795275590553,0.6370114793342556,0.02428417329579842,0.02428417329579842,False
villagers_feudal_age,21.097142857142856,21.274285714285714,0.3279800505574477,-0.021063015910591617,0.021063015910591617,False
mil_trained_castle_age,44.777142857142856,44.09142857142857,0.374360608118835,0.01627740641777004,0.01627740641777004,False
stance_count,80.76,80.93142857142857,0.001507107490732616,-0.0009970678659390858,0.0009970678659390858,True
duration_min,36.22817142857143,36.22817142857143,1.0,0.0,0.0,False
